,Unnamed: 0,Country,Region,Year,Happiness Rank,Happiness Score,Economy (GDP per Capita),Social Support,Health (Life Expectancy),Freedom (Life Choices),Generosity,Perceptions of Corruption,Happiness Category
44,45,Thailand,Southeast Asia,2018,46,6.072,1.016,1.417,0.707,0.637,0.364,0.029,Average Happiness
45,46,Italy,Western Europe,2018,47,6.0,1.264,1.501,0.946,0.281,0.137,0.028,Average Happiness
46,47,Ecuador,Latin America and Caribbean,2018,48,5.973,0.889,1.33,0.736,0.556,0.114,0.12,Average Happiness
47,48,Belize,Latin America and Caribbean,2018,49,5.956,0.807,1.101,0.474,0.593,0.183,0.089,Average Happiness
48,49,Lithuania,Central and Eastern Europe,2018,50,5.952,1.197,1.527,0.716,0.35,0.026,0.006,Average Happiness
49,50,Slovenia,Central and Eastern Europe,2018,51,5.948,1.219,1.506,0.856,0.633,0.16,0.051,Average Happiness
50,51,Romania,Central and Eastern Europe,2018,52,5.945,1.116,1.219,0.726,0.528,0.088,0.001,Average Happiness
51,52,Latvia,Central and Eastern Europe,2018,53,5.933,1.148,1.454,0.671,0.363,0.092,0.066,Average Happiness
52,53,Japan,East Asia,2018,54,5.915,1.294,1.462,0.988,0.553,0.079,0.15,Average Happiness
53,54,Mauritius,Sub-Saharan Africa,2018,55,5.891,1.09,1.387,0.684,0.584,0.245,0.05,Average Happiness
54,55,Jamaica,Latin America and Caribbean,2018,56,5.89,0.819,1.493,0.693,0.575,0.096,0.031,Average Happiness
55,56,South Korea,East Asia,2018,57,5.875,1.266,1.204,0.955,0.244,0.175,0.051,Average Happiness
56,57,North Cyprus,Western Europe,2018,58,5.835,1.229,1.211,0.909,0.495,0.179,0.154,Average Happiness
57,58,Russia,Commonwealth of Independent States,2018,59,5.81,1.151,1.479,0.599,0.399,0.065,0.025,Average Happiness
58,59,Kazakhstan,Commonwealth of Independent States,2018,60,5.79,1.143,1.516,0.631,0.454,0.148,0.121,Average Happiness
59,60,Cyprus,Western Europe,2018,61,5.762,1.229,1.191,0.909,0.423,0.202,0.035,Average Happiness
60,61,Bolivia,Latin America and Caribbean,2018,62,5.752,0.751,1.223,0.508,0.606,0.141,0.054,Average Happiness
61,62,Estonia,Central and Eastern Europe,2018,63,5.739,1.2,1.532,0.737,0.553,0.086,0.174,Average Happiness
62,63,Paraguay,Latin America and Caribbean,2018,64,5.681,0.835,1.522,0.615,0.541,0.162,0.074,Average Happiness
63,64,Peru,Latin America and Caribbean,2018,65,5.663,0.934,1.249,0.674,0.53,0.092,0.034,Average Happiness
64,65,Kosovo,Central and Eastern Europe,2018,66,5.662,0.855,1.23,0.578,0.448,0.274,0.023,Average Happiness
65,66,Moldova,Commonwealth of Independent States,2018,67,5.64,0.657,1.301,0.62,0.232,0.171,0.0,Average Happiness
66,67,Turkmenistan,Commonwealth of Independent States,2018,68,5.636,1.016,1.533,0.517,0.417,0.199,0.037,Average Happiness
67,68,Hungary,Central and Eastern Europe,2018,69,5.62,1.171,1.401,0.732,0.259,0.061,0.022,Average Happiness
68,69,Libya,Middle East and North Africa,2018,70,5.566,0.985,1.35,0.553,0.496,0.116,0.148,Average Happiness
69,70,Philippines,Southeast Asia,2018,71,5.524,0.775,1.312,0.513,0.643,0.12,0.105,Average Happiness
70,71,Honduras,Latin America and Caribbean,2018,72,5.504,0.62,1.205,0.622,0.459,0.197,0.074,Average Happiness
71,72,Belarus,Commonwealth of Independent States,2018,73,5.483,1.039,1.498,0.7,0.307,0.101,0.154,Average Happiness
72,73,Turkiye,Middle East and North Africa,2018,74,5.483,1.148,1.38,0.686,0.324,0.106,0.109,Average Happiness
73,74,Pakistan,South Asia,2018,75,5.472,0.652,0.81,0.424,0.334,0.216,0.113,Average Happiness
74,75,Hong Kong,East Asia,2018,76,5.43,1.405,1.29,1.03,0.524,0.246,0.291,Average Happiness
75,76,Portugal,Western Europe,2018,77,5.41,1.188,1.429,0.884,0.562,0.055,0.017,Average Happiness
76,77,Serbia,Central and Eastern Europe,2018,78,5.398,0.975,1.369,0.685,0.288,0.134,0.043,Average Happiness
77,78,Greece,Western Europe,2018,79,5.358,1.154,1.202,0.879,0.131,0.0,0.044,Average Happiness
78,79,Lebanon,Middle East and North Africa,2018,80,5.358,0.965,1.179,0.785,0.503,0.214,0.136,Average Happiness
79,80,Montenegro,Central and Eastern Europe,2018,81,5.347,1.017,1.279,0.729,0.259,0.111,0.081,Average Happiness
80,81,Croatia,Central and Eastern Europe,2018,82,5.321,1.115,1.161,0.737,0.38,0.12,0.039,Average Happiness
81,82,Dominican Republic,Latin America and Caribbean,2018,83,5.302,0.982,1.441,0.614,0.578,0.12,0.106,Average Happiness
82,83,Algeria,Middle East and North Africa,2018,84,5.295,0.979,1.154,0.687,0.077,0.055,0.135,Average Happiness
83,84,Morocco,Middle East and North Africa,2018,85,5.254,0.779,0.797,0.669,0.46,0.026,0.074,Average Happiness
84,85,China,East Asia,2018,86,5.246,0.989,1.142,0.799,0.597,0.029,0.103,Average Happiness
85,86,Azerbaijan,Commonwealth of Independent States,2018,87,5.201,1.024,1.161,0.603,0.43,0.031,0.176,Average Happiness
86,87,Tajikistan,Commonwealth of Independent States,2018,88,5.199,0.474,1.166,0.598,0.292,0.187,0.034,Average Happiness
87,88,Macedonia,Central and Eastern Europe,2018,89,5.185,0.959,1.239,0.691,0.394,0.173,0.052,Average Happiness
88,89,Jordan,Middle East and North Africa,2018,90,5.161,0.822,1.265,0.645,0.468,0.13,0.134,Average Happiness
89,90,Nigeria,Sub-Saharan Africa,2018,91,5.155,0.689,1.172,0.048,0.462,0.201,0.032,Average Happiness
90,91,Kyrgyzstan,Commonwealth of Independent States,2018,92,5.131,0.53,1.416,0.594,0.54,0.281,0.035,Average Happiness
91,92,Bosnia and Herzegovina,Central and Eastern Europe,2018,93,5.129,0.915,1.078,0.758,0.28,0.216,0.0,Average Happiness
92,93,Mongolia,East Asia,2018,94,5.125,0.914,1.517,0.575,0.395,0.253,0.032,Average Happiness
93,94,Vietnam,Southeast Asia,2018,95,5.103,0.715,1.365,0.702,0.618,0.177,0.079,Average Happiness
94,95,Indonesia,Southeast Asia,2018,96,5.093,0.899,1.215,0.522,0.538,0.484,0.018,Average Happiness
95,96,Bhutan,South Asia,2018,97,5.082,0.796,1.335,0.527,0.541,0.364,0.171,Average Happiness
96,97,Somalia,Sub-Saharan Africa,2018,98,4.982,0.0,0.712,0.115,0.674,0.238,0.282,Average Happiness
97,98,Cameroon,Sub-Saharan Africa,2018,99,4.975,0.535,0.891,0.182,0.454,0.183,0.043,Average Happiness
98,99,Bulgaria,Central and Eastern Europe,2018,100,4.933,1.054,1.515,0.712,0.359,0.064,0.009,Average Happiness
99,100,Nepal,South Asia,2018,101,4.88,0.425,1.228,0.539,0.526,0.302,0.078,Average Happiness
100,101,Venezuela,Latin America and Caribbean,2018,102,4.806,0.996,1.469,0.657,0.133,0.056,0.052,Average Happiness
101,102,Gabon,Sub-Saharan Africa,2018,103,4.758,1.036,1.164,0.404,0.356,0.032,0.052,Average Happiness
102,103,State of Palestine,Middle East and North Africa,2018,104,4.743,0.642,1.217,0.602,0.266,0.086,0.076,Average Happiness
103,104,South Africa,Sub-Saharan Africa,2018,105,4.724,0.94,1.41,0.33,0.516,0.103,0.056,Average Happiness
104,105,Iran,Middle East and North Africa,2018,106,4.707,1.059,0.771,0.691,0.459,0.282,0.129,Average Happiness
105,106,Ivory Coast,Sub-Saharan Africa,2018,107,4.671,0.541,0.872,0.08,0.467,0.146,0.103,Average Happiness
106,107,Ghana,Sub-Saharan Africa,2018,108,4.657,0.592,0.896,0.337,0.499,0.212,0.029,Average Happiness
107,108,Senegal,Sub-Saharan Africa,2018,109,4.631,0.429,1.117,0.433,0.406,0.138,0.082,Average Happiness
108,109,Laos,Southeast Asia,2018,110,4.623,0.72,1.034,0.441,0.626,0.23,0.174,Average Happiness
109,110,Tunisia,Middle East and North Africa,2018,111,4.592,0.9,0.906,0.69,0.271,0.04,0.063,Average Happiness
110,111,Albania,Central and Eastern Europe,2018,112,4.586,0.916,0.817,0.79,0.419,0.149,0.032,Average Happiness
111,112,Sierra Leone,Sub-Saharan Africa,2018,113,4.571,0.256,0.813,0.0,0.355,0.238,0.053,Average Happiness
112,113,Republic of the Congo,Sub-Saharan Africa,2018,114,4.559,0.682,0.811,0.343,0.514,0.091,0.077,Average Happiness
113,114,Bangladesh,South Asia,2018,115,4.5,0.532,0.85,0.579,0.58,0.153,0.144,Low Happiness
114,115,Sri Lanka,South Asia,2018,116,4.471,0.918,1.314,0.672,0.585,0.307,0.05,Low Happiness
115,116,Iraq,Middle East and North Africa,2018,117,4.456,1.01,0.971,0.536,0.304,0.148,0.095,Low Happiness
116,117,Mali,Sub-Saharan Africa,2018,118,4.447,0.37,1.233,0.152,0.367,0.139,0.056,Low Happiness
117,118,Namibia,Sub-Saharan Africa,2018,119,4.441,0.874,1.281,0.365,0.519,0.051,0.064,Low Happiness
118,119,Cambodia,Southeast Asia,2018,120,4.433,0.549,1.088,0.457,0.696,0.256,0.065,Low Happiness
119,120,Burkina Faso,Sub-Saharan Africa,2018,121,4.424,0.314,1.097,0.254,0.312,0.175,0.128,Low Happiness
120,121,Egypt,Middle East and North Africa,2018,122,4.419,0.885,1.025,0.553,0.312,0.092,0.107,Low Happiness
121,122,Mozambique,Sub-Saharan Africa,2018,123,4.417,0.198,0.902,0.173,0.531,0.206,0.158,Low Happiness
122,123,Kenya,Sub-Saharan Africa,2018,124,4.41,0.493,1.048,0.454,0.504,0.352,0.055,Low Happiness
123,124,Zambia,Sub-Saharan Africa,2018,125,4.377,0.562,1.047,0.295,0.503,0.221,0.082,Low Happiness
124,125,Mauritania,Sub-Saharan Africa,2018,126,4.356,0.557,1.245,0.292,0.129,0.134,0.093,Low Happiness
125,126,Ethiopia,Sub-Saharan Africa,2018,127,4.35,0.308,0.95,0.391,0.452,0.22,0.146,Low Happiness
126,127,Georgia,Commonwealth of Independent States,2018,128,4.34,0.853,0.592,0.643,0.375,0.038,0.215,Low Happiness
127,128,Armenia,Commonwealth of Independent States,2018,129,4.321,0.816,0.99,0.666,0.26,0.077,0.028,Low Happiness
128,129,Myanmar,Southeast Asia,2018,130,4.308,0.682,1.174,0.429,0.58,0.598,0.178,Low Happiness
129,130,Chad,Sub-Saharan Africa,2018,131,4.301,0.358,0.907,0.053,0.189,0.181,0.06,Low Happiness
130,131,Democratic Republic of the Congo,Sub-Saharan Africa,2018,132,4.245,0.069,1.136,0.204,0.312,0.197,0.052,Low Happiness
131,132,India,South Asia,2018,133,4.19,0.721,0.747,0.485,0.539,0.172,0.093,Low Happiness
132,133,Niger,Sub-Saharan Africa,2018,134,4.166,0.131,0.867,0.221,0.39,0.175,0.099,Low Happiness
133,134,Uganda,Sub-Saharan Africa,2018,135,4.161,0.322,1.09,0.237,0.45,0.259,0.061,Low Happiness
134,135,Benin,Sub-Saharan Africa,2018,136,4.141,0.378,0.372,0.24,0.44,0.163,0.067,Low Happiness
135,136,Sudan,Sub-Saharan Africa,2018,137,4.139,0.605,1.24,0.312,0.016,0.134,0.082,Low Happiness
136,137,Ukraine,Commonwealth of Independent States,2018,138,4.103,0.793,1.413,0.609,0.163,0.187,0.011,Low Happiness
137,138,Togo,Sub-Saharan Africa,2018,139,3.999,0.259,0.474,0.253,0.434,0.158,0.101,Low Happiness
138,139,Guinea,Sub-Saharan Africa,2018,140,3.964,0.344,0.792,0.211,0.394,0.185,0.094,Low Happiness
139,140,Lesotho,Sub-Saharan Africa,2018,141,3.808,0.472,1.215,0.079,0.423,0.116,0.112,Low Happiness
140,141,Angola,Sub-Saharan Africa,2018,142,3.795,0.73,1.125,0.269,0.0,0.079,0.061,Low Happiness
141,142,Madagascar,Sub-Saharan Africa,2018,143,3.774,0.262,0.908,0.402,0.221,0.155,0.049,Low Happiness
142,143,Zimbabwe,Sub-Saharan Africa,2018,144,3.692,0.357,1.094,0.248,0.406,0.132,0.099,Low Happiness
143,144,Afghanistan,South Asia,2018,145,3.632,0.332,0.537,0.255,0.085,0.191,0.036,Low Happiness
144,145,Botswana,Sub-Saharan Africa,2018,146,3.59,1.017,1.174,0.417,0.557,0.042,0.092,Low Happiness
145,146,Malawi,Sub-Saharan Africa,2018,147,3.587,0.186,0.541,0.306,0.531,0.21,0.08,Low Happiness
146,147,Haiti,Latin America and Caribbean,2018,148,3.582,0.315,0.714,0.289,0.025,0.392,0.104,Low Happiness
147,148,Liberia,Sub-Saharan Africa,2018,149,3.495,0.076,0.858,0.267,0.419,0.206,0.03,Low Happiness
148,149,Syria,Middle East and North Africa,2018,150,3.462,0.689,0.382,0.539,0.088,0.376,0.144,Low Happiness
149,150,Rwanda,Sub-Saharan Africa,2018,151,3.408,0.332,0.896,0.4,0.636,0.2,0.444,Low Happiness
150,151,Yemen,Middle East and North Africa,2018,152,3.355,0.442,1.073,0.343,0.244,0.083,0.064,Low Happiness
151,152,Tanzania,Sub-Saharan Africa,2018,153,3.303,0.455,0.991,0.381,0.481,0.27,0.097,Low Happiness
152,153,South Sudan,Sub-Saharan Africa,2018,154,3.254,0.337,0.608,0.177,0.112,0.224,0.106,Low Happiness
153,154,Central African Republic,Sub-Saharan Africa,2018,155,3.083,0.024,0.0,0.01,0.305,0.218,0.038,Low Happiness
154,155,Burundi,Sub-Saharan Africa,2018,156,2.905,0.091,0.627,0.145,0.065,0.149,0.076,Low Happiness
155,0,Finland,Western Europe,2019,1,7.769,1.34,1.587,0.986,0.596,0.153,0.393,High Happiness
156,1,Denmark,Western Europe,2019,2,7.6,1.383,1.573,0.996,0.592,0.252,0.41,High Happiness
157,2,Norway,Western Europe,2019,3,7.554,1.488,1.582,1.028,0.603,0.271,0.341,High Happiness
158,3,Iceland,Western Europe,2019,4,7.494,1.38,1.624,1.026,0.591,0.354,0.118,High Happiness
159,4,Netherlands,Western Europe,2019,5,7.488,1.396,1.522,0.999,0.557,0.322,0.298,High Happiness
160,5,Switzerland,Western Europe,2019,6,7.48,1.452,1.526,1.052,0.572,0.263,0.343,High Happiness
161,6,Sweden,Western Europe,2019,7,7.343,1.387,1.487,1.009,0.574,0.267,0.373,High Happiness
162,7,New Zealand,North America and ANZ,2019,8,7.307,1.303,1.557,1.026,0.585,0.33,0.38,High Happiness
163,8,Canada,North America and ANZ,2019,9,7.278,1.365,1.505,1.039,0.584,0.285,0.308,High Happiness
164,9,Austria,Western Europe,2019,10,7.246,1.376,1.475,1.016,0.532,0.244,0.226,High Happiness
165,10,Australia,North America and ANZ,2019,11,7.228,1.372,1.548,1.036,0.557,0.332,0.29,High Happiness
166,11,Costa Rica,Latin America and Caribbean,2019,12,7.167,1.034,1.441,0.963,0.558,0.144,0.093,High Happiness
167,12,Israel,Middle East and North Africa,2019,13,7.139,1.276,1.455,1.029,0.371,0.261,0.082,High Happiness
168,13,Luxembourg,Western Europe,2019,14,7.09,1.609,1.479,1.012,0.526,0.194,0.316,High Happiness
169,14,United Kingdom,Western Europe,2019,15,7.054,1.333,1.538,0.996,0.45,0.348,0.278,High Happiness
170,15,Ireland,Western Europe,2019,16,7.021,1.499,1.553,0.999,0.516,0.298,0.31,High Happiness
171,16,Germany,Western Europe,2019,17,6.985,1.373,1.454,0.987,0.495,0.261,0.265,High Happiness
172,17,Belgium,Western Europe,2019,18,6.923,1.356,1.504,0.986,0.473,0.16,0.21,High Happiness
173,18,United States,North America and ANZ,2019,19,6.892,1.433,1.457,0.874,0.454,0.28,0.128,High Happiness
174,19,Czech Republic,Central and Eastern Europe,2019,20,6.852,1.269,1.487,0.92,0.457,0.046,0.036,High Happiness
175,20,United Arab Emirates,Middle East and North Africa,2019,21,6.825,1.503,1.31,0.825,0.598,0.262,0.182,High Happiness
176,21,Malta,Western Europe,2019,22,6.726,1.3,1.52,0.999,0.564,0.375,0.151,High Happiness
177,22,Mexico,Latin America and Caribbean,2019,23,6.595,1.07,1.323,0.861,0.433,0.074,0.073,High Happiness
178,23,France,Western Europe,2019,24,6.592,1.324,1.472,1.045,0.436,0.111,0.183,High Happiness
179,24,Taiwan,East Asia,2019,25,6.446,1.368,1.43,0.914,0.351,0.242,0.097,Average Happiness
180,25,Chile,Latin America and Caribbean,2019,26,6.444,1.159,1.369,0.92,0.357,0.187,0.056,Average Happiness
181,26,Guatemala,Latin America and Caribbean,2019,27,6.436,0.8,1.269,0.746,0.535,0.175,0.078,Average Happiness
182,27,Saudi Arabia,Middle East and North Africa,2019,28,6.375,1.403,1.357,0.795,0.439,0.08,0.132,Average Happiness
183,28,Qatar,Middle East and North Africa,2019,29,6.374,1.684,1.313,0.871,0.555,0.22,0.167,Average Happiness
184,29,Spain,Western Europe,2019,30,6.354,1.286,1.484,1.062,0.362,0.153,0.079,Average Happiness
185,30,Panama,Latin America and Caribbean,2019,31,6.321,1.149,1.442,0.91,0.516,0.109,0.054,Average Happiness
186,31,Brazil,Latin America and Caribbean,2019,32,6.3,1.004,1.439,0.802,0.39,0.099,0.086,Average Happiness
187,32,Uruguay,Latin America and Caribbean,2019,33,6.293,1.124,1.465,0.891,0.523,0.127,0.15,Average Happiness
188,33,Singapore,Southeast Asia,2019,34,6.262,1.572,1.463,1.141,0.556,0.271,0.453,Average Happiness
189,34,El Salvador,Latin America and Caribbean,2019,35,6.253,0.794,1.242,0.789,0.43,0.093,0.074,Average Happiness
190,35,Italy,Western Europe,2019,36,6.223,1.294,1.488,1.039,0.231,0.158,0.03,Average Happiness
191,36,Bahrain,Middle East and North Africa,2019,37,6.199,1.362,1.368,0.871,0.536,0.255,0.11,Average Happiness
192,37,Slovakia,Central and Eastern Europe,2019,38,6.198,1.246,1.504,0.881,0.334,0.121,0.014,Average Happiness
193,38,Trinidad and Tobago,Latin America and Caribbean,2019,39,6.192,1.231,1.477,0.713,0.489,0.185,0.016,Average Happiness
194,39,Poland,Central and Eastern Europe,2019,40,6.182,1.206,1.438,0.884,0.483,0.117,0.05,Average Happiness
195,40,Uzbekistan,Commonwealth of Independent States,2019,41,6.174,0.745,1.529,0.756,0.631,0.322,0.24,Average Happiness
196,41,Lithuania,Central and Eastern Europe,2019,42,6.149,1.238,1.515,0.818,0.291,0.043,0.042,Average Happiness
197,42,Colombia,Latin America and Caribbean,2019,43,6.125,0.985,1.41,0.841,0.47,0.099,0.034,Average Happiness
198,43,Slovenia,Central and Eastern Europe,2019,44,6.118,1.258,1.523,0.953,0.564,0.144,0.057,Average Happiness
199,44,Nicaragua,Latin America and Caribbean,2019,45,6.105,0.694,1.325,0.835,0.435,0.2,0.127,Average Happiness
200,45,Kosovo,Central and Eastern Europe,2019,46,6.1,0.882,1.232,0.758,0.489,0.262,0.006,Average Happiness
201,46,Argentina,Latin America and Caribbean,2019,47,6.086,1.092,1.432,0.881,0.471,0.066,0.05,Average Happiness
202,47,Romania,Central and Eastern Europe,2019,48,6.07,1.162,1.232,0.825,0.462,0.083,0.005,Average Happiness
203,48,Cyprus,Western Europe,2019,49,6.046,1.263,1.223,1.042,0.406,0.19,0.041,Average Happiness
204,49,Ecuador,Latin America and Caribbean,2019,50,6.028,0.912,1.312,0.868,0.498,0.126,0.087,Average Happiness
205,50,Kuwait,Middle East and North Africa,2019,51,6.021,1.5,1.319,0.808,0.493,0.142,0.097,Average Happiness
206,51,Thailand,Southeast Asia,2019,52,6.008,1.05,1.409,0.828,0.557,0.359,0.028,Average Happiness
207,52,Latvia,Central and Eastern Europe,2019,53,5.94,1.187,1.465,0.812,0.264,0.075,0.064,Average Happiness
208,53,South Korea,East Asia,2019,54,5.895,1.301,1.219,1.036,0.159,0.175,0.056,Average Happiness
209,54,Estonia,Central and Eastern Europe,2019,55,5.893,1.237,1.528,0.874,0.495,0.103,0.161,Average Happiness
210,55,Jamaica,Latin America and Caribbean,2019,56,5.89,0.831,1.478,0.831,0.49,0.107,0.028,Average Happiness
211,56,Mauritius,Sub-Saharan Africa,2019,57,5.888,1.12,1.402,0.798,0.498,0.215,0.06,Average Happiness
212,57,Japan,East Asia,2019,58,5.886,1.327,1.419,1.088,0.445,0.069,0.14,Average Happiness
213,58,Honduras,Latin America and Caribbean,2019,59,5.86,0.642,1.236,0.828,0.507,0.246,0.078,Average Happiness
214,59,Kazakhstan,Commonwealth of Independent States,2019,60,5.809,1.173,1.508,0.729,0.41,0.146,0.096,Average Happiness
215,60,Bolivia,Latin America and Caribbean,2019,61,5.779,0.776,1.209,0.706,0.511,0.137,0.064,Average Happiness
216,61,Hungary,Central and Eastern Europe,2019,62,5.758,1.201,1.41,0.828,0.199,0.081,0.02,Average Happiness
217,62,Paraguay,Latin America and Caribbean,2019,63,5.743,0.855,1.475,0.777,0.514,0.184,0.08,Average Happiness
218,63,North Cyprus,Western Europe,2019,64,5.718,1.263,1.252,1.042,0.417,0.191,0.162,Average Happiness
219,64,Peru,Latin America and Caribbean,2019,65,5.697,0.96,1.274,0.854,0.455,0.083,0.027,Average Happiness
220,65,Portugal,Western Europe,2019,66,5.693,1.221,1.431,0.999,0.508,0.047,0.025,Average Happiness
221,66,Pakistan,South Asia,2019,67,5.653,0.677,0.886,0.535,0.313,0.22,0.098,Average Happiness
222,67,Russia,Commonwealth of Independent States,2019,68,5.648,1.183,1.452,0.726,0.334,0.082,0.031,Average Happiness
223,68,Philippines,Southeast Asia,2019,69,5.631,0.807,1.293,0.657,0.558,0.117,0.107,Average Happiness
224,69,Serbia,Central and Eastern Europe,2019,70,5.603,1.004,1.383,0.854,0.282,0.137,0.039,Average Happiness
225,70,Moldova,Commonwealth of Independent States,2019,71,5.529,0.685,1.328,0.739,0.245,0.181,0.0,Average Happiness
226,71,Libya,Middle East and North Africa,2019,72,5.525,1.044,1.303,0.673,0.416,0.133,0.152,Average Happiness
227,72,Montenegro,Central and Eastern Europe,2019,73,5.523,1.051,1.361,0.871,0.197,0.142,0.08,Average Happiness
228,73,Tajikistan,Commonwealth of Independent States,2019,74,5.467,0.493,1.098,0.718,0.389,0.23,0.144,Average Happiness
229,74,Croatia,Central and Eastern Europe,2019,75,5.432,1.155,1.266,0.914,0.296,0.119,0.022,Average Happiness
230,75,Hong Kong,East Asia,2019,76,5.43,1.438,1.277,1.122,0.44,0.258,0.287,Average Happiness
231,76,Dominican Republic,Latin America and Caribbean,2019,77,5.425,1.015,1.401,0.779,0.497,0.113,0.101,Average Happiness
232,77,Bosnia and Herzegovina,Central and Eastern Europe,2019,78,5.386,0.945,1.212,0.845,0.212,0.263,0.006,Average Happiness
233,78,Turkiye,Middle East and North Africa,2019,79,5.373,1.183,1.36,0.808,0.195,0.083,0.106,Average Happiness
